date,trip_count
2002-12-31,11
2008-12-31,10
2009-01-01,18
2023-12-31,10
2024-01-01,81013
2024-01-02,75519
2024-01-03,82427
2024-01-04,102901
2024-01-05,103178
2024-01-06,97117
2024-01-07,67543
2024-01-08,80034
2024-01-09,93962
2024-01-10,95000
2024-01-11,105010
2024-01-12,103655
2024-01-13,104758
2024-01-14,94420
2024-01-15,77033
2024-01-16,93057
2024-01-17,110365
2024-01-18,110358
2024-01-19,95951
2024-01-20,108768
2024-01-21,84502
2024-01-22,85650
2024-01-23,99891
2024-01-24,105120
2024-01-25,110318
2024-01-26,105804
2024-01-27,110515
2024-01-28,92837
2024-01-29,84547
2024-01-30,101233
2024-01-31,102131
2024-02-01,109997
2024-02-02,105470
2024-02-03,110603
2024-02-04,88091
2024-02-05,88421
2024-02-06,102152
2024-02-07,102971
2024-02-08,114063
2024-02-09,110502
2024-02-10,111655
2024-02-11,96566
2024-02-12,92090
2024-02-13,69067
2024-02-14,121771
2024-02-15,122956
2024-02-16,105841
2024-02-17,105811
2024-02-18,93788
2024-02-19,76073
2024-02-20,97086
2024-02-21,103545
2024-02-22,115608
2024-02-23,102442
2024-02-24,117831
2024-02-25,95826
2024-02-26,86321
2024-02-27,118614
2024-02-28,112463
2024-02-29,129909
2024-03-01,117640
2024-03-02,122463
2024-03-03,97000
2024-03-04,94198
2024-03-05,112562
2024-03-06,132881
2024-03-07,122119
2024-03-08,119534
2024-03-09,140493
2024-03-10,104486
2024-03-11,98319
2024-03-12,112219
2024-03-13,119723
2024-03-14,137060
2024-03-15,128813
2024-03-16,131432
2024-03-17,103415
2024-03-18,94988
2024-03-19,111714
2024-03-20,118999
2024-03-21,130803
2024-03-22,116847
2024-03-23,121966
2024-03-24,101913
2024-03-25,93442
2024-03-26,112693
2024-03-27,121188
2024-03-28,132715
2024-03-29,119850
2024-03-30,112652
2024-03-31,98484
2024-04-01,93870
2024-04-02,131634
2024-04-03,139775
2024-04-04,137504
2024-04-05,134463
2024-04-06,131609
2024-04-07,105570
2024-04-08,97245
2024-04-09,120618
2024-04-10,121815
2024-04-11,142640
2024-04-12,123884
2024-04-13,129801
2024-04-14,111479
2024-04-15,101058
2024-04-16,111018
2024-04-17,126607
2024-04-18,134386
2024-04-19,119285
2024-04-20,132925
2024-04-21,105839
2024-04-22,90393
2024-04-23,100084
2024-04-24,108657
2024-04-25,122980
2024-04-26,113011
2024-04-27,117875
2024-04-28,99321
2024-04-29,97090
2024-04-30,111859
2024-05-01,121929
2024-05-02,133110
2024-05-03,128046
2024-05-04,133764
2024-05-05,120116
2024-05-06,102937
2024-05-07,119368
2024-05-08,127738
