date,subway_ridership
2024-01-01,1648734
2024-01-02,3290639
2024-01-03,3555082
2024-01-04,3560703
2024-01-05,3263064
2024-01-06,1942458
2024-01-07,1472438
2024-01-08,3303727
2024-01-09,3353192
2024-01-10,3557166
2024-01-11,3688916
2024-01-12,3365791
2024-01-13,2167383
2024-01-14,1743556
2024-01-15,2169917
2024-01-16,3235935
2024-01-17,3616923
2024-01-18,3655850
2024-01-19,3176408
2024-01-20,2024041
2024-01-21,1576126
2024-01-22,3305387
2024-01-23,3652488
2024-01-24,3666907
2024-01-25,3681867
2024-01-26,3380816
2024-01-27,2283244
2024-01-28,1549077
2024-01-29,3297571
2024-01-30,3717520
2024-01-31,3808584
2024-02-01,3814682
2024-02-02,3457807
2024-02-03,2324038
2024-02-04,1742107
2024-02-05,3481777
2024-02-06,3857533
2024-02-07,3900992
2024-02-08,3903673
2024-02-09,3547321
2024-02-10,2385448
2024-02-11,1774698
2024-02-12,3374596
2024-02-13,2273584
2024-02-14,3963628
2024-02-15,3874860
2024-02-16,3504536
2024-02-17,2178047
2024-02-18,1850840
2024-02-19,2244741
2024-02-20,3490990
2024-02-21,3591484
2024-02-22,3588173
2024-02-23,3219121
2024-02-24,2308808
2024-02-25,1740477
2024-02-26,3439079
2024-02-27,3802458
2024-02-28,3784177
2024-02-29,3905888
2024-03-01,3573658
2024-03-02,2094029
2024-03-03,1961510
2024-03-04,3539671
2024-03-05,3819514
2024-03-06,3865589
2024-03-07,3893731
2024-03-08,3685219
2024-03-09,2128635
2024-03-10,1803578
2024-03-11,3497588
2024-03-12,3988438
2024-03-13,4024943
2024-03-14,4049186
2024-03-15,3643013
2024-03-16,2553056
2024-03-17,1972170
2024-03-18,3482565
2024-03-19,3869116
2024-03-20,3886104
2024-03-21,3862248
2024-03-22,3581959
2024-03-23,1863863
2024-03-24,1912946
2024-03-25,3583716
2024-03-26,3969793
2024-03-27,4014011
2024-03-28,3910547
2024-03-29,3372535
2024-03-30,2526569
2024-03-31,1936295
2024-04-01,3321989
2024-04-02,3900061
2024-04-03,3890305
2024-04-04,4100733
2024-04-05,3800800
2024-04-06,2477127
2024-04-07,1899641
2024-04-08,3506719
2024-04-09,4042674
2024-04-10,3791945
2024-04-11,4000485
2024-04-12,3668439
2024-04-13,2535112
2024-04-14,2068885
2024-04-15,3704177
2024-04-16,4033514
2024-04-17,4021256
2024-04-18,3966226
2024-04-19,3705782
2024-04-20,2537525
2024-04-21,1918237
2024-04-22,3219677
2024-04-23,3522218
2024-04-24,3608010
2024-04-25,3723894
2024-04-26,3431590
2024-04-27,2506779
2024-04-28,2084950
2024-04-29,3323706
2024-04-30,3638986
2024-05-01,4032791
2024-05-02,4061242
2024-05-03,3780888
2024-05-04,2563658
2024-05-05,1889174
2024-05-06,3652105
2024-05-07,4098321
2024-05-08,4087477
2024-05-09,4086528
2024-05-10,3677268
2024-05-11,2648580
2024-05-12,1858872
2024-05-13,3703066
2024-05-14,4116655
2024-05-15,4114615
2024-05-16,4105026
2024-05-17,3816914
2024-05-18,2691368
2024-05-19,2121485
2024-05-20,3682061
2024-05-21,4029557
2024-05-22,4104021
2024-05-23,3863099
2024-05-24,3583244
2024-05-25,2347159
2024-05-26,2019012
2024-05-27,1667890
2024-05-28,3825781
2024-05-29,4006764
2024-05-30,3979959
2024-05-31,3688627
2024-06-01,2446153
2024-06-02,1978037
2024-06-03,3611491
2024-06-04,3979793
2024-06-05,4051943
2024-06-06,3774324
2024-06-07,3752412
2024-06-08,2673220
2024-06-09,2134551
2024-06-10,3702212
2024-06-11,3995425
2024-06-12,3977760
2024-06-13,3936941
2024-06-14,3517062
2024-06-15,2431810
2024-06-16,1897201
2024-06-17,3325104
2024-06-18,3920839
2024-06-19,3046320
2024-06-20,3857797
2024-06-21,3500365
2024-06-22,2385207
2024-06-23,1908786
2024-06-24,3467845
2024-06-25,3831447
2024-06-26,3901100
2024-06-27,3776811
2024-06-28,3522732
2024-06-29,2454997
2024-06-30,2002269
2024-07-01,3273546
2024-07-02,3542073
2024-07-03,3409357
2024-07-04,1992244
2024-07-05,2700734
2024-07-06,2100877
2024-07-07,1804572
2024-07-08,3228784
2024-07-09,3605032
2024-07-10,3691835
2024-07-11,3688029
2024-07-12,3261074
2024-07-13,2203283
2024-07-14,1869670
2024-07-15,3259800
2024-07-16,3594150
2024-07-17,3651756
2024-07-18,3637826
2024-07-19,3372874
2024-07-20,2269647
2024-07-21,1877704
2024-07-22,3235343
2024-07-23,3606656
2024-07-24,3656472
2024-07-25,3638351
2024-07-26,3288849
2024-07-27,2306948
2024-07-28,1851383
2024-07-29,3202281
2024-07-30,3590241
2024-07-31,3576343
2024-08-01,3544663
2024-08-02,3153955
2024-08-03,2200373
2024-08-04,1752861
2024-08-05,3222601
2024-08-06,3462581
2024-08-07,3511253
2024-08-08,3490217
2024-08-09,3041276
2024-08-10,2356405
2024-08-11,1918748
2024-08-12,3169180
2024-08-13,3491612
2024-08-14,3544668
2024-08-15,3495671
2024-08-16,3198733
2024-08-17,2256233
2024-08-18,1713050
2024-08-19,3076559
2024-08-20,3475888
2024-08-21,3498651
2024-08-22,3427911
2024-08-23,3209666
2024-08-24,2332624
2024-08-25,1905818
2024-08-26,3113498
2024-08-27,3477101
2024-08-28,3516674
2024-08-29,3438760
2024-08-30,3152242
2024-08-31,2158004
2024-09-01,1969350
2024-09-02,2007446
2024-09-03,3629404
2024-09-04,3868854
2024-09-05,4033322
2024-09-06,3794952
2024-09-07,2479639
2024-09-08,2101048
2024-09-09,3811344
2024-09-10,4182405
2024-09-11,4214707
2024-09-12,4232214
2024-09-13,3911412
2024-09-14,2706474
2024-09-15,2161737
2024-09-16,3821428
2024-09-17,4189311
2024-09-18,4232888
2024-09-19,4255184
2024-09-20,3933048
2024-09-21,2744632
2024-09-22,2131910
2024-09-23,3898806
2024-09-24,4323708
2024-09-25,4335945
2024-09-26,4295723
2024-09-27,3945383
