Roadway Name,Roadway Name og,From,To,Direction,average_volume
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4633.5
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4626.833333
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4590.458333
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,4585.708333
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4581.375
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4576.375
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4575.541667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4554.541667
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4545.125
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,EB,4509.875
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4508.25
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4505.5
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4503.416667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4469.625
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4467.166667
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,EB,4424.791667
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4416.333333
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,4410.791667
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,SB,4406.375
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4405
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,4394.333333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,SB,4376.583333
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,EB,4356.25
